schemaname,table_name,total_size,table_size,index_size,toast_size
public,page_html,1446 MB,3704 kB,5896 kB,1436 MB
public,debug_logs,1192 MB,648 MB,342 MB,202 MB
snapshot_2025_10_06,page_chunks,29 MB,2680 kB,0 bytes,26 MB
backup_pre_consolidation,page_chunks,29 MB,2680 kB,0 bytes,26 MB
public,page_chunks,25 MB,0 bytes,23 MB,1336 kB
cron,job_run_details,22 MB,20 MB,2656 kB,40 kB
public,csv_metadata,19 MB,11 MB,7720 kB,328 kB
public,page_entities_backup_utc,17 MB,17 MB,0 bytes,152 kB
public,page_entities,17 MB,2616 kB,9968 kB,4736 kB
public,page_entities_backup_2025_10_18,4792 kB,1536 kB,0 bytes,3256 kB
public,page_entities_backup_2025_10_19,4200 kB,1024 kB,0 bytes,3176 kB
public,job_run_details,4144 kB,3608 kB,480 kB,56 kB
snapshot_2025_10_06,page_text,3488 kB,128 kB,0 bytes,3360 kB
public,page_text,3480 kB,72 kB,80 kB,3328 kB
public,regression_test_results,3376 kB,8192 bytes,48 kB,3320 kB
public,chat_sessions,3104 kB,40 kB,3032 kB,32 kB
public,chat_interactions,1976 kB,0 bytes,1128 kB,848 kB
public,product_display_price,1288 kB,1080 kB,168 kB,40 kB
snapshot_2025_10_06,page_entities,1216 kB,1024 kB,0 bytes,192 kB
backup_pre_consolidation,page_entities,1216 kB,1024 kB,0 bytes,192 kB
public,light_refresh_runs,1168 kB,736 kB,112 kB,320 kB
public,schema_audit_logs,1072 kB,80 kB,128 kB,864 kB
net,_http_response,672 kB,536 kB,40 kB,96 kB
public,regression_test_runs,632 kB,384 kB,208 kB,40 kB
public,csv_metadata_backup_2025_10_19,608 kB,512 kB,0 bytes,96 kB
supabase_migrations,schema_migrations,440 kB,224 kB,32 kB,184 kB
public,url_last_processed,424 kB,104 kB,280 kB,40 kB
public,chat_question_frequency,408 kB,0 bytes,368 kB,40 kB
public,event_product_links_auto,328 kB,96 kB,192 kB,40 kB
public,database_maintenance_run_table,296 kB,176 kB,80 kB,40 kB
